동네,NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
회기,391,서울특별시 동대문구 회기동,16-36,0016,0036,(16-36),월세,12.2850,202608,29,"1,000",52,4,2013,회기로19길 23,202608~202708,신규,-,,,연립다세대
상도,416,서울특별시 동작구 상도동,356-110,0356,0110,금산빌,월세,29.8000,202608,29,"3,000",110,2,2016,상도로17길 30,202609~202809,신규,-,,,연립다세대
상도,420,서울특별시 동작구 상도동,211-440,0211,0440,211-440,월세,29.5300,202608,29,"20,530",25,3,2016,양녕로20길 120,202701~202901,갱신,-,"19,530",20,연립다세대
상도,431,서울특별시 동작구 상도동,242-92,0242,0092,해피하우스(242-92),월세,14.0100,202608,29,500,49,4,2013,성대로5길 40-2,202609~202701,갱신,사용,500,47,연립다세대
상도,440,서울특별시 동작구 상도동,17-59,0017,0059,용선아트빌,월세,19.3600,202608,29,"1,000",65,5,2013,만양로2길 4,202608~202708,신규,-,,,연립다세대
사당,441,서울특별시 동작구 사당동,142-38,0142,0038,솔라빌,전세,28.4700,202608,29,"31,000",0,3,2025,동작대로27마길 8-6,202610~202810,신규,-,,,연립다세대
사당,449,서울특별시 동작구 사당동,1049-18,1049,0018,디에스타운6차,전세,43.2100,202608,29,"40,000",0,5,2021,남부순환로259가길 28,202610~202810,신규,-,,,연립다세대
사당,450,서울특별시 동작구 사당동,217-15,0217,0015,자가자찬,전세,29.0200,202608,29,"24,000",0,3,2018,사당로 172-11,202610~202810,갱신,-,"22,900",0,연립다세대
사당,451,서울특별시 동작구 사당동,1035-16,1035,0016,천금하우스,월세,12.9500,202608,29,"1,000",33,2,2018,동작대로9다길 39,202609~202809,신규,-,,,연립다세대
합정,456,서울특별시 마포구 합정동,453-11,0453,0011,이에스한강포레A,전세,26.7600,202608,29,"26,250",0,5,2024,동교로8길 36,202608~202808,갱신,사용,"25,000",0,연립다세대
사당,469,서울특별시 동작구 사당동,1048-41,1048,0041,에덴-3,전세,39.6000,202608,29,"30,000",0,4,2017,남부순환로263길 6,202610~202810,신규,-,,,연립다세대
건대입구,474,서울특별시 광진구 구의동,241-82,0241,0082,세종아트빌,전세,54.6100,202608,29,"31,500",0,5,2002,아차산로55길 62-5,202611~202811,신규,-,,,연립다세대
합정,482,서울특별시 마포구 합정동,453-11,0453,0011,이에스한강포레A,전세,26.7600,202608,29,"26,250",0,5,2024,동교로8길 36,202608~202808,갱신,사용,"25,000",0,연립다세대
건대입구,484,서울특별시 광진구 구의동,591-22,0591,0022,강변리버빌,월세,29.0300,202608,29,"23,000",20,2,2016,뚝섬로67길 35,202611~202811,신규,-,,,연립다세대
건대입구,487,서울특별시 광진구 자양동,197-12,0197,0012,미산빌17차,전세,29.6400,202608,29,"30,000",0,2,2022,동일로4가길 10,202610~202810,신규,-,,,연립다세대
건대입구,488,서울특별시 광진구 자양동,52-200,0052,0200,랜드마크,전세,30.0100,202608,29,"27,000",0,2,2016,뚝섬로24길 6,202609~202809,신규,-,,,연립다세대
건대입구,489,서울특별시 광진구 자양동,197-7,0197,0007,(197-7),전세,29.6100,202608,29,"20,900",0,3,2016,동일로4가길 4,202609~202809,신규,-,,,연립다세대
건대입구,491,서울특별시 광진구 자양동,647-33,0647,0033,(647-33),전세,43.2900,202608,29,"25,350",0,3,2014,뚝섬로52마길 29,202609~202809,갱신,-,"25,350",0,연립다세대
건대입구,494,서울특별시 광진구 자양동,4-4,0004,0004,(4-4),월세,16.7050,202608,29,500,63,2,2013,뚝섬로23길 97,202608~202809,신규,-,,,연립다세대
건대입구,496,서울특별시 광진구 자양동,857,0857,0000,도시엔,월세,13.3800,202608,29,"1,000",67,5,2011,동일로18길 36,202609~202809,신규,-,,,연립다세대
건대입구,497,서울특별시 광진구 자양동,598-20,0598,0020,598-20,전세,30.4200,202608,29,"18,900",0,3,2008,뚝섬로48길 30,202610~202810,신규,-,,,연립다세대
건대입구,498,서울특별시 광진구 자양동,589-19,0589,0019,부광아트빌라,월세,34.7400,202608,29,"15,000",45,2,1990,자양강변길 275,202609~202809,갱신,-,"24,000",0,연립다세대
건대입구,499,서울특별시 광진구 자양동,226-13,0226,0013,로얄하이츠(빌라),월세,53.9600,202608,29,"15,000",75,1,2001,아차산로39길 25,202610~202809,신규,-,,,연립다세대
청량리,500,서울특별시 동대문구 청량리동,46-18,0046,0018,가단빌라,전세,52.9800,202608,29,"24,000",0,4,2002,왕산로45길 66,202608~202809,갱신,사용,"23,000",0,연립다세대
건대입구,515,서울특별시 광진구 화양동,17-53,0017,0053,IRIS,전세,17.1000,202608,29,"12,600",0,3,2012,동일로28길 49-10,202610~202810,갱신,사용,"12,000",0,연립다세대
신촌,525,서울특별시 서대문구 창천동,4-101,0004,0101,(4-101),월세,12.4700,202608,29,500,80,3,2011,연세로2다길 33,202609~202709,신규,-,,,연립다세대
상도,529,서울특별시 동작구 상도동,299-168,0299,0168,리치빌(299-168),월세,19.4500,202608,29,"9,000",33,3,2012,국사봉6길 22,202609~202809,신규,-,,,연립다세대
신촌,530,서울특별시 서대문구 창천동,413,0413,0000,골든타운,월세,45.0600,202608,29,"1,000",155,3,2016,연희로2길 38,202608~202808,신규,-,,,연립다세대
상도,531,서울특별시 동작구 상도동,283-104,0283,0104,동양맨션2차,월세,75.6600,202608,29,"3,000",55,-1,2002,성대로6사길 27-1,202610~202810,신규,-,,,연립다세대
수유,539,서울특별시 강북구 수유동,569-39,0569,0039,송정지가A,전세,29.7600,202608,29,"20,600",0,3,2021,인수봉로84길 21,202610~202810,신규,-,,,연립다세대
홍대,550,서울특별시 마포구 서교동,342-7,0342,0007,MONAD,월세,24.0800,202608,29,"2,100",55,2,2002,와우산로29가길 74,202608~202808,신규,-,,,연립다세대
상도,604,서울특별시 동작구 상도동,279-586,0279,0586,대성하이빌라B동,월세,41.1600,202608,29,"17,000",30,2,1991,성대로6가길 74,202611~202811,신규,-,,,연립다세대
상도,605,서울특별시 동작구 상도동,244-76,0244,0076,보성하이츠빌라,월세,42.5400,202608,29,"12,000",27,2,1990,성대로17길 35,202609~202810,갱신,사용,"12,000",27,연립다세대
신림,615,서울특별시 관악구 신림동,1475-23,1475,0023,미성엘리트,월세,15.6400,202608,29,"3,000",33,5,2013,난곡로63가길 23,202609~202809,신규,-,,,연립다세대
신림,616,서울특별시 관악구 신림동,1481-18,1481,0018,성창빌라,전세,47.6500,202608,29,"17,500",0,2,1991,난곡로63가길 22,202610~202810,신규,-,,,연립다세대
신림,617,서울특별시 관악구 신림동,610-36,0610,0036,우주빌라,월세,39.3600,202608,29,"14,000",15,2,1990,법원단지25길 17,202610~202810,신규,-,,,연립다세대
성수,618,서울특별시 성동구 성수동2가,321-61,0321,0061,321-61,전세,25.8800,202608,29,"25,400",0,2,2017,성수일로4가길 13-1,202609~202809,갱신,-,"24,200",0,연립다세대
신림,620,서울특별시 관악구 신림동,102-47,0102,0047,(102-47),월세,36.5100,202608,29,"10,000",25,2,1986,복은6길 62,202611~202811,신규,-,,,연립다세대
