동네,시군구,번지,건물명,위도,경도,전월세구분,전용면적(㎡),층,보증금(만원),월세금(만원),건축년도
홍대,서울특별시 마포구 서교동,399-6,studioville서교,37.5550711,126.9238244,전세,29.0800,3,"10,400",0,2002
역삼,서울특별시 강남구 역삼동,660-26,스카이빌,37.49988,127.03856,월세,54.9300,2,"1,000",85,2001
역삼,서울특별시 강남구 역삼동,732-33,네오빌(732-33),37.49988,127.03856,전세,26.6000,2,"12,000",0,2001
역삼,서울특별시 강남구 역삼동,792-24,(792-24),37.49988,127.03856,전세,48.9100,5,"16,500",0,2002
역삼,서울특별시 강남구 역삼동,793-2,(793-2),37.49988,127.03856,월세,30.5900,2,"12,000",30,2002
역삼,서울특별시 강남구 역삼동,782-26,아르테빌,37.49988,127.03856,월세,25.2200,2,100,72,2020
역삼,서울특별시 강남구 역삼동,777-11,백년빌,37.49988,127.03856,월세,33.0400,5,"7,828",17,2021
역삼,서울특별시 강남구 역삼동,778-19,백년빌,37.49988,127.03856,월세,29.9200,2,"1,526",41,2021
역삼,서울특별시 강남구 역삼동,751-8,버베나하우스(A),37.49988,127.03856,전세,29.4710,5,"37,000",0,2021
역삼,서울특별시 강남구 역삼동,834-112,블랙스완,37.49988,127.03856,월세,25.1300,2,"1,000",77,2021
역삼,서울특별시 강남구 역삼동,782,두산위브파빌리온역삼,37.49988,127.03856,월세,47.0710,5,"5,000",340,2025
건대입구,서울특별시 광진구 구의동,227-38,덕원빌라,37.5444896,127.0874678,전세,40.0200,2,"22,700",0,2016
건대입구,서울특별시 광진구 구의동,225-39,(225-39),37.5444896,127.0874678,전세,52.5000,2,"24,308",0,2005
신림,서울특별시 관악구 신림동,1591-4,다온빌,37.486897,126.928177,월세,29.0200,2,"2,000",110,2022
신림,서울특별시 관악구 신림동,630-7,아름채,37.486897,126.928177,전세,41.6100,3,"26,200",0,2015
신림,서울특별시 관악구 신림동,409-96,(409-96),37.486897,126.928177,전세,16.8300,4,"15,000",0,2013
신림,서울특별시 관악구 신림동,610-76,아원빌,37.486897,126.928177,전세,48.2400,3,"20,000",0,2012
신림,서울특별시 관악구 신림동,409-260,(409-260),37.486897,126.928177,월세,34.5000,-1,700,50,1990
건대입구,서울특별시 광진구 자양동,513-8,무지개빌라B동,37.5316905,127.0749477,전세,41.7300,1,"26,100",0,1992
건대입구,서울특별시 광진구 자양동,6-5,(6-5),37.5316905,127.0749477,월세,43.7700,2,500,65,2002
건대입구,서울특별시 광진구 자양동,800-9,그린빌,37.5316905,127.0749477,전세,54.0600,2,"31,700",0,2007
건대입구,서울특별시 광진구 자양동,16-47,행복,37.5316905,127.0749477,월세,14.0800,5,"1,000",110,2017
건대입구,서울특별시 광진구 자양동,16-47,행복,37.5316905,127.0749477,월세,40.3800,2,"1,000",110,2017
건대입구,서울특별시 광진구 자양동,46-33,자양리치빌V,37.5316905,127.0749477,전세,20.4900,5,"19,950",0,2022
건대입구,서울특별시 광진구 화양동,41-2,무지개하우스41-2,37.54408,127.06895,월세,15.1000,3,"1,000",70,2015
사당,서울특별시 동작구 사당동,183-12,카라베르디움,37.48508,126.9704949,전세,48.3500,4,"36,300",0,2018
사당,서울특별시 동작구 사당동,1050-16,상산노블하임(1050-16),37.48508,126.9704949,전세,39.1800,2,"34,600",0,2017
사당,서울특별시 동작구 사당동,1017-26,(1017-26),37.48508,126.9704949,월세,48.5100,2,"24,000",10,2004
